episode_reward_mean,episode_len_mean,timesteps_this_iter,done,timesteps_total,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time,info/weights_norm,info/grad_norm,info/update_ratio,info/episodes_this_iter,info/episodes_so_far,perf/cpu_util_percent,perf/ram_util_percent
-172.8255,100.0,106187,False,1703984,,16,ba596_00000,c7ec05c32e9b48718448f3db59a03a0b,2023-02-14_00-33-42,1676334822,9.569854021072388,194.5373363494873,22128,6860f06fdae6,172.17.0.2,194.5373363494873,1703984,16,17.197246551513672,575.7584,5.2960067,0.02989842,1090,17416,57.58571428571429,88.5
-174.35011,96.08695652173913,106363,False,1810347,,17,ba596_00000,c7ec05c32e9b48718448f3db59a03a0b,2023-02-14_00-33-52,1676334832,9.63085389137268,204.16819024085999,22128,6860f06fdae6,172.17.0.2,204.16819024085999,1810347,17,17.197246551513672,578.3625,5.5678706,0.029460445,1088,18504,56.87857142857143,88.39285714285714
-176.36795,100.0,106337,False,1916684,,18,ba596_00000,c7ec05c32e9b48718448f3db59a03a0b,2023-02-14_00-34-01,1676334841,9.285109281539917,213.4532995223999,22128,6860f06fdae6,172.17.0.2,213.4532995223999,1916684,18,17.197246551513672,580.7868,5.405973,0.028841982,1088,19592,60.199999999999996,88.39230769230768
-185.68217,100.0,107058,False,2023742,,19,ba596_00000,c7ec05c32e9b48718448f3db59a03a0b,2023-02-14_00-34-10,1676334850,8.90712594985962,222.36042547225952,22128,6860f06fdae6,172.17.0.2,222.36042547225952,2023742,19,17.197246551513672,583.06946,5.431486,0.02841718,1090,20682,65.23333333333333,88.40833333333335
-184.09628,83.5,107041,False,2130783,,20,ba596_00000,c7ec05c32e9b48718448f3db59a03a0b,2023-02-14_00-34-18,1676334858,8.580156564712524,230.94058203697205,22128,6860f06fdae6,172.17.0.2,230.94058203697205,2130783,20,17.197246551513672,585.1447,5.3250823,0.027956668,1088,21770,60.93076923076924,88.48461538461538
-186.0251,100.0,106213,False,2236996,,21,ba596_00000,c7ec05c32e9b48718448f3db59a03a0b,2023-02-14_00-34-28,1676334868,9.16703200340271,240.10761404037476,22128,6860f06fdae6,172.17.0.2,240.10761404037476,2236996,21,17.197246551513672,587.0604,5.5556145,0.027604153,1090,22860,60.353846153846156,88.43076923076924
-188.42068,100.0,107144,False,2344140,,22,ba596_00000,c7ec05c32e9b48718448f3db59a03a0b,2023-02-14_00-34-37,1676334877,8.951792478561401,249.05940651893616,22128,6860f06fdae6,172.17.0.2,249.05940651893616,2344140,22,17.197246551513672,588.78723,5.505961,0.027332362,1088,23948,65.28333333333333,88.47500000000001
-190.63965,100.0,106746,False,2450886,,23,ba596_00000,c7ec05c32e9b48718448f3db59a03a0b,2023-02-14_00-34-45,1676334885,8.755459547042847,257.814866065979,22128,6860f06fdae6,172.17.0.2,257.814866065979,2450886,23,17.197246551513672,590.43823,5.522087,0.027147902,1090,25038,60.98461538461538,88.46153846153847
-189.7027,100.0,107470,False,2558356,,24,ba596_00000,c7ec05c32e9b48718448f3db59a03a0b,2023-02-14_00-34-54,1676334894,8.838192224502563,266.65305829048157,22128,6860f06fdae6,172.17.0.2,266.65305829048157,2558356,24,17.197246551513672,591.9972,5.208982,0.026890384,1088,26126,65.69166666666666,88.5
-194.32968,100.0,105587,False,2663943,,25,ba596_00000,c7ec05c32e9b48718448f3db59a03a0b,2023-02-14_00-35-03,1676334903,8.483808755874634,275.1368670463562,22128,6860f06fdae6,172.17.0.2,275.1368670463562,2663943,25,17.197246551513672,593.4674,5.4067316,0.026594743,1088,27214,64.53333333333333,88.46666666666665
-185.97536,94.84210526315789,107339,False,2771282,,26,ba596_00000,c7ec05c32e9b48718448f3db59a03a0b,2023-02-14_00-35-12,1676334912,9.223328828811646,284.36019587516785,22128,6860f06fdae6,172.17.0.2,284.36019587516785,2771282,26,17.197246551513672,594.8674,5.325345,0.026403552,1088,28302,60.07692307692308,88.43076923076923
-187.55649,100.0,106244,False,2877526,,27,ba596_00000,c7ec05c32e9b48718448f3db59a03a0b,2023-02-14_00-35-21,1676334921,9.156299591064453,293.5164954662323,22128,6860f06fdae6,172.17.0.2,293.5164954662323,2877526,27,17.197246551513672,596.2814,5.5906854,0.02631439,1088,29390,61.34615384615384,88.5
